Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
19/08/2024 18:05,188.70814,2050.47,960.1822,1685.7678,606.28,ACTUAL
19/08/2024 18:10,183.52242,2058.35,973.04617,1677.10383,602.37,ACTUAL
19/08/2024 18:15,173.08377,2069.45,915.10017,1686.89983,540.78,ACTUAL
19/08/2024 18:20,175.44399,2043.82,830.12923,1685.25077,477.75,ACTUAL
19/08/2024 18:25,172.18093,2080.51,917.08057,1672.46943,516.46,ACTUAL
19/08/2024 18:30,210.08374,2082.31,902.99789,1676.24211,503.78,ACTUAL
19/08/2024 18:35,205.77395,2078.22,899.04662,1651.05338,478.13,ACTUAL
19/08/2024 18:40,190.86424,2074.84,888.00475,1666.92525,486.58,ACTUAL
19/08/2024 18:45,172.52377,2043.4,829.07939,1676.87061,468.53,ACTUAL
19/08/2024 18:50,157.63984,2061.15,864.00458,1701.94542,512.16,ACTUAL
19/08/2024 18:55,136.16551,2048.49,683.01415,1714.35585,351.8,ACTUAL
19/08/2024 19:00,138.02807,2054.17,759.57868,1747.50132,458.65,ACTUAL
19/08/2024 19:05,127.19046,2037.71,653.03515,1782.18485,401.51,ACTUAL
19/08/2024 19:10,121.33678,2022.19,634.00039,1808.64961,425.16,ACTUAL
19/08/2024 19:15,122.18322,2018.67,607.09302,1830.37698,423.58,ACTUAL
19/08/2024 19:20,123.534,2001.93,582.04361,1822.66639,407.12,ACTUAL
19/08/2024 19:25,124.99494,1989.08,568.09018,1771.20982,353.45,ACTUAL
19/08/2024 19:30,104.35697,1969.76,563.00466,1747.34534,343.66,ACTUAL
19/08/2024 19:35,131.9455,1973.14,586.03034,1721.58966,337.42,ACTUAL
19/08/2024 19:40,132.09551,1967.6,564.07603,1711.79397,310.71,ACTUAL
19/08/2024 19:45,124.01618,1953.74,581.1005,1697.9895,328.06,ACTUAL
19/08/2024 19:50,123.29217,1950.83,563.20641,1666.04359,280.25,ACTUAL
19/08/2024 19:55,123.97929,1930.51,563.04478,1645.88522,280.4,ACTUAL
19/08/2024 20:00,123.51013,1921.44,563.07443,1644.45557,288.18,ACTUAL
19/08/2024 20:05,128.8774,1915.85,481.70631,1642.29369,209.02,ACTUAL
19/08/2024 20:10,127.69368,1900.32,480.02223,1629.80777,210.43,ACTUAL
19/08/2024 20:15,124.49305,1879.8,480.03051,1642.23949,243.88,ACTUAL
19/08/2024 20:20,124.1368,1876.69,480.13785,1631.26215,235.92,ACTUAL
19/08/2024 20:25,108.64421,1866.6,480.07811,1658.48189,273.88,ACTUAL
19/08/2024 20:30,102.72,1854.85,473.51121,1667.33879,288.13,ACTUAL
19/08/2024 20:35,109.95788,1849.31,426.14263,1660.36737,238.41,ACTUAL
19/08/2024 20:40,117.6691,1867.58,426.19527,1679.73473,239.48,ACTUAL
19/08/2024 20:45,122.42713,1837.51,421.11914,1692.15086,277.74,ACTUAL
19/08/2024 20:50,102.94575,1840.6,420.99709,1709.35291,291.93,ACTUAL
19/08/2024 20:55,96.48691,1821.52,357.98068,1706.57932,244.4,ACTUAL
19/08/2024 21:00,96.28262,1806.39,355.99617,1695.05383,246.15,ACTUAL
19/08/2024 21:05,138,1786.38,470.87735,1573.11265,259.47,ACTUAL
