Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
19/08/2024 18:05,249.45624,7509.93,7913.40231,128.86769,529.77,ACTUAL
19/08/2024 18:10,236.98405,7528.49,7914.71765,138.72235,522.2,ACTUAL
19/08/2024 18:15,205.06,7512.76,7867.37347,147.98653,499.71,ACTUAL
19/08/2024 18:20,202.95316,7478.89,7789.71105,163.90895,471.79,ACTUAL
19/08/2024 18:25,221.01632,7527.34,7447.00809,169.17191,88.81,ACTUAL
19/08/2024 18:30,264.41899,7532.71,7456.01289,182.86711,105.77,ACTUAL
19/08/2024 18:35,248.51219,7475.15,7547.76907,192.48093,262.5,ACTUAL
19/08/2024 18:40,228.01,7472.58,7630.00804,201.78196,355.95,ACTUAL
19/08/2024 18:45,205.06,7483.34,7584.71115,207.44885,305.81,ACTUAL
19/08/2024 18:50,190.74,7459.67,7537.77467,230.57533,305.71,ACTUAL
19/08/2024 18:55,158.20444,7372.4,7393.24596,242.16404,260.41,ACTUAL
19/08/2024 19:00,167.75868,7406.82,7406.81145,248.78855,246.27,ACTUAL
19/08/2024 19:05,155.06,7358.52,7331.1325,262.5775,233,ACTUAL
19/08/2024 19:10,149.99,7327.77,7227.20108,292.96892,190.59,ACTUAL
19/08/2024 19:15,149.99,7303.85,7161.56884,334.48116,190.44,ACTUAL
19/08/2024 19:20,147.89281,7262.41,7157.17743,367.92257,260.25,ACTUAL
19/08/2024 19:25,148.75091,7239.84,7087.51497,396.73503,242.01,ACTUAL
19/08/2024 19:30,124.03919,7207.13,6972.41982,432.36018,195.72,ACTUAL
19/08/2024 19:35,153.83008,7129.89,6913.40978,455.77022,237.22,ACTUAL
19/08/2024 19:40,153.83008,7085.67,6918.19818,447.82182,278.22,ACTUAL
19/08/2024 19:45,146.2664,7024.64,6850.95576,479.87424,304.16,ACTUAL
19/08/2024 19:50,148.10667,7056.65,6787.15583,501.46417,230.35,ACTUAL
19/08/2024 19:55,151.70501,7081.54,6685.16685,513.81315,117.12,ACTUAL
19/08/2024 20:00,152.50241,7049.22,6604.20449,527.31551,82.5,ACTUAL
19/08/2024 20:05,153.83008,7055.68,6575.7298,549.3602,69.81,ACTUAL
19/08/2024 20:10,152.36957,7012.61,6524.52603,575.69397,87.67,ACTUAL
19/08/2024 20:15,150.34813,6950.37,6500.87364,606.65636,156.31,ACTUAL
19/08/2024 20:20,150.45652,6986.93,6502.9987,630.5513,145.84,ACTUAL
19/08/2024 20:25,132.78311,7002.33,6558.99587,649.49413,204.77,ACTUAL
19/08/2024 20:30,123.99933,6974.34,6558.99958,669.43042,252.46,ACTUAL
19/08/2024 20:35,131.00106,6955.04,6559.00305,666.50695,268.82,ACTUAL
19/08/2024 20:40,138.76053,6903.39,6559.00127,640.97873,295.02,ACTUAL
19/08/2024 20:45,146.31961,6931.36,6559.00445,662.57555,288.63,ACTUAL
19/08/2024 20:50,119.1563,6913.06,6559.00058,714.30942,358.82,ACTUAL
19/08/2024 20:55,112.95,6844.02,6455.79672,718.21328,328.6,ACTUAL
19/08/2024 21:00,112.95,6855.97,6430.54155,715.82845,288.92,ACTUAL
19/08/2024 21:05,161.76244,6799.52,6458.82547,720.19453,378.61,ACTUAL
19/08/2024 21:10,142.94538,6739.39,6376.04101,732.27899,368.13,ACTUAL
19/08/2024 21:15,144.783,6797.98,6372.99571,724.60429,298.47,ACTUAL
19/08/2024 21:20,115.63,6677.42,6279.28107,733.60893,334.66,ACTUAL
19/08/2024 21:25,112.95,6619.31,6256.63372,735.23628,372.07,ACTUAL
19/08/2024 21:30,110.69021,6580.65,6145.69488,745.37512,309.63,ACTUAL
19/08/2024 21:35,110.83014,6549.33,6132.80533,740.51467,323.37,ACTUAL
19/08/2024 21:40,112.95,6537.86,6151.88327,750.48673,364.22,ACTUAL
19/08/2024 21:45,108.99288,6435.27,6027.06468,749.47532,340.98,ACTUAL
19/08/2024 21:50,110.78392,6433.82,5972.6796,735.4604,273.77,ACTUAL
19/08/2024 21:55,99.22,6370.75,5917.57094,744.14906,290.58,ACTUAL
19/08/2024 22:00,93.83,6367.07,5746.96027,749.29973,129,ACTUAL
19/08/2024 22:05,85.91381,6296.05,5661.88706,757.15294,122.86,ACTUAL
19/08/2024 22:10,110.83007,6340.97,5796.96592,740.19408,195.93,ACTUAL
19/08/2024 22:15,113.7065,6369.96,5911.3614,743.7386,285.42,ACTUAL
19/08/2024 22:20,112.95,6326.29,5889.989,740.301,304.66,ACTUAL
19/08/2024 22:25,110.83007,6287.25,5813.87657,736.41343,263.57,ACTUAL
19/08/2024 22:30,102.03904,6164.46,5750.99841,751.81159,339.55,ACTUAL
19/08/2024 22:35,102.58336,6150.9,5705.51262,749.58738,305.15,ACTUAL
19/08/2024 22:40,110.39011,6196.15,5663.08354,759.79646,227.23,ACTUAL
19/08/2024 22:45,104.41515,6149.49,5590.25324,763.80676,205.07,ACTUAL
19/08/2024 22:50,97.82255,6084.56,5529.3955,769.1445,214.52,ACTUAL
19/08/2024 22:55,87.38561,6078.87,5476.55015,783.28985,181.51,ACTUAL
19/08/2024 23:00,83.2329,5965.3,5445.95549,796.16451,277.79,ACTUAL
19/08/2024 23:05,116.84993,6001.77,5282.41526,795.82474,77.25,ACTUAL
19/08/2024 23:10,110.83004,5954.12,5255.9682,797.2518,100.08,ACTUAL
19/08/2024 23:15,96.95,5935.64,5166.78135,793.48865,26.07,ACTUAL
19/08/2024 23:20,99.22,5955.04,5202.18766,790.94234,39.37,ACTUAL
19/08/2024 23:25,94.63597,5884.69,5093.93916,791.64084,2.41,ACTUAL
19/08/2024 23:30,95.2169,5936.04,5104.56291,791.81709,-37.75,ACTUAL
19/08/2024 23:35,90.41523,5814.18,5130.00401,784.83599,101.44,ACTUAL
19/08/2024 23:40,90.22365,5795.2,5152.99606,789.89394,148.61,ACTUAL
